"Час визита","Визиты","Просмотры","Посетители","Отказы"
"2023-05-29 06:00:00","6649","38211","6541","0.22755301549105128"
"2023-03-15 01:00:00","6648","20905","6494","0.3358904933814681"
"2023-06-19 05:00:00","6640","26599","6517","0.3093373493975904"
"2023-05-21 06:00:00","6636","35653","6494","0.24578059071729957"
"2023-04-23 05:00:00","6631","31493","6478","0.2722063037249284"
"2023-07-28 00:00:00","6621","27570","6512","0.29572572119015256"
"2023-04-07 01:00:00","6576","19603","6406","0.34641119221411193"
"2023-07-15 06:00:00","6556","35351","6450","0.2936241610738255"
"2023-05-11 01:00:00","6546","21510","6403","0.30996028108768714"
"2023-03-14 05:00:00","6543","25078","6410","0.29145651841662845"
"2023-04-23 01:00:00","6541","24376","6356","0.3332823727258829"
"2023-05-17 00:00:00","6529","22611","6327","0.3231735334660744"
"2023-06-20 05:00:00","6529","26142","6422","0.3426252105988666"
"2023-03-12 02:00:00","6525","23387","6295","0.32796934865900385"
"2023-03-07 05:00:00","6511","24018","6344","0.30348640761787743"
"2023-04-08 02:00:00","6497","20157","6340","0.3142989071879329"
"2023-06-21 05:00:00","6495","25287","6324","0.3314857582755966"
"2023-07-14 05:00:00","6491","26395","6423","0.3141272531197042"
"2023-03-12 04:00:00","6483","25851","6326","0.29970692580595404"
"2023-03-08 02:00:00","6478","19854","6224","0.3436245754862612"
"2023-06-16 02:00:00","6472","18236","6276","0.3856613102595797"
"2023-03-18 05:00:00","6467","29177","6322","0.2526673882789547"
"2023-06-12 06:00:00","6464","38851","6348","0.21395420792079206"
"2023-04-20 05:00:00","6461","28799","6302","0.27085590465872156"
"2023-06-01 01:00:00","6461","22101","6280","0.3977712428416654"
"2023-04-30 01:00:00","6458","22297","6309","0.3377206565500155"
"2023-04-03 04:00:00","6456","22141","6350","0.3173791821561338"
"2023-03-31 04:00:00","6449","22689","6382","0.2791130407815165"
"2023-03-21 01:00:00","6448","20467","6097","0.3213399503722084"
"2023-05-06 01:00:00","6412","21893","6259","0.3432626325639426"
"2023-07-04 05:00:00","6407","26515","6333","0.31543624161073824"
"2023-03-02 03:00:00","6399","16790","6292","0.31129864041256444"
"2023-06-09 06:00:00","6393","35159","6303","0.20350383231659627"
"2023-03-20 05:00:00","6379","26397","6241","0.23122746511992476"
"2023-03-16 01:00:00","6370","21046","6089","0.2943485086342229"
"2023-05-14 06:00:00","6355","38310","6212","0.18992918961447677"
"2023-03-26 01:00:00","6348","24308","6149","0.31758034026465026"
"2023-07-02 05:00:00","6340","29352","6230","0.31703470031545744"
"2023-07-23 07:00:00","6335","46734","6238","0.19258089976322024"
"2023-04-21 05:00:00","6333","27269","6195","0.2799621032685931"
"2023-03-08 05:00:00","6324","27389","6138","0.2846299810246679"
"2023-05-08 02:00:00","6311","23632","6146","0.29662494057993977"
"2023-03-06 05:00:00","6308","23736","6186","0.29359543436905516"
"2023-06-12 01:00:00","6307","22457","6126","0.34992865070556517"
"2023-03-22 05:00:00","6306","27035","6154","0.2521408182683159"
"2023-03-10 01:00:00","6300","19200","6102","0.3342857142857143"
"2023-03-31 01:00:00","6298","20273","6155","0.3428072403937758"
"2023-03-22 01:00:00","6290","20990","5959","0.3"
"2023-06-10 06:00:00","6283","36373","6145","0.2186853413974216"
"2023-06-14 05:00:00","6283","27320","6099","0.2592710488620086"
"2023-05-15 00:00:00","6279","23754","6071","0.3022774327122153"
"2023-04-08 05:00:00","6276","29645","6138","0.2783620140216699"
"2023-04-15 01:00:00","6273","20546","6063","0.34624581539933047"
"2023-07-03 01:00:00","6260","21268","6117","0.362779552715655"
"2023-04-25 05:00:00","6255","25673","6139","0.2788169464428457"
"2023-05-07 02:00:00","6253","23280","6120","0.3148888533503918"
"2023-03-19 02:00:00","6252","21168","6092","0.3453294945617402"
"2023-05-18 00:00:00","6251","24372","6078","0.2975523916173412"
"2023-05-06 05:00:00","6237","27998","6097","0.2667949334616001"
"2023-06-11 06:00:00","6236","36053","6114","0.21921103271327774"
"2023-07-31 00:00:00","6228","25435","6136","0.2935131663455363"
"2023-04-28 05:00:00","6222","25060","6064","0.2630986820957891"
"2023-05-13 06:00:00","6219","33935","6069","0.20903682264029583"
"2023-03-30 01:00:00","6200","19399","6054","0.3511290322580646"
"2023-05-01 01:00:00","6199","23117","6014","0.3457009195031457"
"2023-07-09 01:00:00","6192","23880","6045","0.36030361757105944"
"2023-04-12 05:00:00","6183","24082","6061","0.27009542293385086"
"2023-04-06 01:00:00","6179","18791","6033","0.3492474510438582"
"2023-06-22 02:00:00","6169","18749","6007","0.3851515642729778"
"2023-07-07 05:00:00","6169","52109","6047","0.3173934187064354"
"2023-05-07 05:00:00","6168","29992","5989","0.23167963683527887"
"2023-06-23 02:00:00","6167","17949","6015","0.4018161180476731"
"2023-06-24 05:00:00","6167","31731","6064","0.3265769417869304"
"2023-04-13 05:00:00","6159","25109","5982","0.2644909887968826"
"2023-03-17 01:00:00","6158","20136","5930","0.3119519324455992"
"2023-07-22 07:00:00","6158","42678","6083","0.19162065605716141"
"2023-03-29 05:00:00","6151","26536","6024","0.2409364331003089"
"2023-03-30 05:00:00","6151","24945","6045","0.272150869777272"
"2023-04-14 05:00:00","6149","23909","6038","0.2712636201008294"
"2023-04-05 05:00:00","6138","23863","6008","0.285109156076898"
"2023-05-12 00:00:00","6135","24557","5948","0.29209453952730235"
"2023-07-06 05:00:00","6127","26107","6049","0.29051738207932104"
"2023-06-30 01:00:00","6123","21278","5971","0.34999183406826717"
"2023-06-18 05:00:00","6111","28735","5987","0.3145148093601702"
"2023-06-06 05:00:00","6103","26114","5988","0.24201212518433557"
"2023-05-09 02:00:00","6093","22066","5951","0.2926308879041523"
"2023-05-08 05:00:00","6086","31451","5878","0.225928360170884"
"2023-03-13 01:00:00","6085","18685","5951","0.35776499589153654"
"2023-06-04 02:00:00","6071","20153","5890","0.3750617690660517"
"2023-05-27 01:00:00","6067","21211","5907","0.37695731003790994"
"2023-07-23 00:00:00","6039","28444","5918","0.28051001821493626"
"2023-07-21 00:00:00","6026","25532","5922","0.2799535346830402"
"2023-03-31 03:00:00","6022","19514","5921","0.2992361341746928"
"2023-05-30 01:00:00","6019","19264","5860","0.37481309187572687"
"2023-03-13 05:00:00","6014","23327","5905","0.29248420352510807"
"2023-03-23 04:00:00","5994","22886","5821","0.304637971304638"
"2023-05-01 05:00:00","5992","31856","5834","0.25166889185580776"
"2023-07-22 00:00:00","5989","26684","5883","0.2803473033895475"
"2023-07-14 01:00:00","5988","20496","5835","0.3719104876419506"
"2023-06-26 01:00:00","5981","21526","5832","0.34793512790503267"
"2023-03-03 03:00:00","5979","16804","5869","0.3298210403077438"
"2023-07-19 06:00:00","5977","36509","5903","0.19809268863978585"
"2023-04-09 03:00:00","5975","22275","5776","0.2920502092050209"
"2023-06-05 05:00:00","5970","25607","5869","0.2556113902847571"
"2023-07-18 00:00:00","5963","25438","5814","0.27419084353513334"
"2023-07-05 01:00:00","5958","19743","5831","0.3833501174890903"
"2023-07-17 00:00:00","5952","27830","5808","0.2819220430107527"
"2023-06-22 04:00:00","5945","20704","5820","0.3493692178301093"
